"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2015","MARKETING YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","3.6",""
"SURVEY","2015","MARKETING YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","OATS","OATS - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","2.12",""
"SURVEY","2015","MARKETING YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RICE","RICE - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED","12.9",""
"SURVEY","2015","MARKETING YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","CORN","CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","3.85",""
"SURVEY","2015","MARKETING YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","OATS","OATS - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","4.5",""
"SURVEY","2015","MARKETING YEAR","","STATE","ALASKA","02","","","","","","","00000000","","OATS","OATS - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","3.8",""
"SURVEY","2015","MARKETING YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","CORN","CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","5.1",""
"SURVEY","2015","MARKETING YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","CORN","CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","4.1",""
"SURVEY","2015","MARKETING YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","OATS","OATS - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","2.95",""
"SURVEY","2015","MARKETING YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","RICE","RICE - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED","11.6",""
"SURVEY","2015","MARKETING YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","CORN","CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","4.5",""
"SURVEY","2015","MARKETING YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","OATS","OATS - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","3.25",""
"SURVEY","2015","MARKETING YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","RICE","RICE - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED","20.1",""
"SURVEY","2015","MARKETING YEAR","","STATE","COLORADO","08","","","","","","","00000000","","CORN","CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","3.7",""
"SURVEY","2015","MARKETING YEAR","","STATE","COLORADO","08","","","","","","","00000000","","OATS","OATS - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","3.5",""
"SURVEY","2015","MARKETING YEAR","","STATE","DELAWARE","10","","","","","","","00000000","","CORN","CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","3.8",""
"SURVEY","2015","MARKETING YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","CORN","CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","3.8",""
"SURVEY","2015","MARKETING YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","CORN","CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","4",""
"SURVEY","2015","MARKETING YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","OATS","OATS - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","4.1",""
"SURVEY","2015","MARKETING YEAR","","STATE","IDAHO","16","","","","","","","00000000","","CORN","CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","4.7",""
"SURVEY","2015","MARKETING YEAR","","STATE","IDAHO","16","","","","","","","00000000","","OATS","OATS - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","2.87",""
"SURVEY","2015","MARKETING YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","CORN","CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","3.65",""
"SURVEY","2015","MARKETING YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","OATS","OATS - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","2.89",""
"SURVEY","2015","MARKETING YEAR","","STATE","INDIANA","18","","","","","","","00000000","","CORN","CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","3.85",""
"SURVEY","2015","MARKETING YEAR","","STATE","INDIANA","18","","","","","","","00000000","","OATS","OATS - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","3.13",""
"SURVEY","2015","MARKETING YEAR","","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","3.5",""
"SURVEY","2015","MARKETING YEAR","","STATE","IOWA","19","","","","","","","00000000","","OATS","OATS - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","2.57",""
"SURVEY","2015","MARKETING YEAR","","STATE","KANSAS","20","","","","","","","00000000","","CORN","CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","3.75",""
"SURVEY","2015","MARKETING YEAR","","STATE","KANSAS","20","","","","","","","00000000","","OATS","OATS - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","2.55",""
"SURVEY","2015","MARKETING YEAR","","STATE","KENTUCKY","21","","","","","","","00000000","","CORN","CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","3.8",""
"SURVEY","2015","MARKETING YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","CORN","CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","4",""
"SURVEY","2015","MARKETING YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","RICE","RICE - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED","11.9",""
"SURVEY","2015","MARKETING YEAR","","STATE","MAINE","23","","","","","","","00000000","","OATS","OATS - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","2",""
"SURVEY","2015","MARKETING YEAR","","STATE","MARYLAND","24","","","","","","","00000000","","CORN","CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","3.8",""
